"email_subject_id","email_subject"
1,"25% off all EVs. It's a Christmas Time"
2,A Brand New Scooter...and Car
3,"A New Year, And Some New EVs"
4,An Electric Car for a New Age
5,"Green Cars , Green Friday Offer"
6,Introducing A Limited Edition
7,Sprint Up your Ride
8,Save the Planet with some Holiday Savings
9,Take out your Electric Scooter for Holiday
10,The 2013 FioNex Scooter is Here
11,Season of Savings Offer
12,Cut you a deal: 20%% off on Parker
13,We Really Outdid Ourselves this Year
14,Go out with FioNex ! get 10%% off
15,Sale is still on this Friday
